kategoria,Nazwa,Cena,Cena przed obnizka,Nr referencyjny,Adres zdjecia,Rozmiary,Opis,Material wykonania,Kolor
SNEAKERSY,Sneakersy srebrne,210,"590,00 ",   W00385-SNIK-002,"https://baldowski.b-cdn.net/3793-new_cart_photo/sneakersy-srebrne.jpg,https://baldowski.b-cdn.net/3794-new_cart_photo/sneakersy-srebrne.jpg",,Złote sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., srebrny
SNEAKERSY,Sneakersy granatowe,290,"490,00 ",   W01022s/D lak.+zamsz granat,"https://baldowski.b-cdn.net/9581-new_cart_photo/sneakersy-granatowe.jpg,https://baldowski.b-cdn.net/9580-new_cart_photo/sneakersy-granatowe.jpg","35,40,41",Sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., granatowy
SNEAKERSY,Sneakersy czarne,310,"590,00 ",   W00239-SNIK-003,"https://baldowski.b-cdn.net/5282-new_cart_photo/sneakersy-czarne.jpg,https://baldowski.b-cdn.net/5283-new_cart_photo/sneakersy-czarne.jpg",36,Czarne sneakersy na 8-centymetrowej platformie schowanej. ,Wykonane ze skóry naturalnej., czarny
BOTKI,Botki bordowe z metalowym noskiem,660,,   D03357-SKV1-008/Z2,"https://baldowski.b-cdn.net/10888-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg,https://baldowski.b-cdn.net/10890-new_cart_photo/botki-bordowe-z-metalowym-noskiem.jpg","36,37,38,39,40,41",Botki bordowe na 5-centymetrowym obcasie.,Wykonane ze skóry naturalnej., bordowy
BOTKI,Botki czarne,850,,   D02163-4048-003,"https://baldowski.b-cdn.net/10725-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/10727-new_cart_photo/botki-czarne.jpg","35,36,37,38,39,40,41",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
PŁASKIE,Klapki multicolor,240,"490,00 ",   D02427-0621-001,"https://baldowski.b-cdn.net/6726-new_cart_photo/klapki-multicolor.jpg,https://baldowski.b-cdn.net/6725-new_cart_photo/klapki-multicolor.jpg","36,37,38",Klapki multicolor na 1-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., multicolor
BY MACIEJ ZIEŃ,Botki czarne,390,"820,00 ",   Z0001,"https://baldowski.b-cdn.net/4938-new_cart_photo/botki-czarne.jpg,https://baldowski.b-cdn.net/4939-new_cart_photo/botki-czarne.jpg",35,"Czarne buty na 10,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., czarny
CZÓŁENKA,Czółenka jasny brąz,530,,   D03270-4330-003/P2/D03270-4330-006,"https://baldowski.b-cdn.net/10985-new_cart_photo/czolenka-jasny-braz.jpg,https://baldowski.b-cdn.net/10982-new_cart_photo/czolenka-jasny-braz.jpg","35,36,37,38,39,40,41","Czółenka jasny brąz na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej., jasny brąz
CZÓŁENKA,Czółenka zielone,480,,   D02572-4330-003,"https://baldowski.b-cdn.net/7608-new_cart_photo/czolenka-zielone.jpg,https://baldowski.b-cdn.net/7610-new_cart_photo/czolenka-zielone.jpg","36,37,41","Czółenka zielone na 7,5-centymetrowym obcasie. ",Wykonane ze skóry naturalnej oraz zamszowej., zielony
KOZAKI,Kozaki czarne,780,,   Z00034-4300-002,"https://baldowski.b-cdn.net/7857-new_cart_photo/szpilki-czarne.jpg,https://baldowski.b-cdn.net/7859-new_cart_photo/szpilki-czarne.jpg","39,40",Czarne buty na 11-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
OUTLET MĘSKI,Buty męskie czarne,249,"560,00 ",   027,"https://baldowski.b-cdn.net/5075-new_cart_photo/buty-meskie-czarne.jpg,https://baldowski.b-cdn.net/5079-new_cart_photo/buty-meskie-czarne.jpg","41,42,44,45",Czarne buty męskie na 2-centymetrowym obcasie. ,Wykonane ze skóry naturalnej., czarny
